idPk;cost;warranty;inStock;timeDelevery;warrantyImported;usefulLife;spareParts;primaryFunctionalities;secondlyFunctionalities;brand;model;height;width;deep;weight;Items_idPk
11;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y protección al pie.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";159
12;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte al cuello en uso diario";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";160
13;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";161
14;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";162
15;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";163
16;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento de la muñeca y dedo";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";164
17;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"evita hinchazones y contribuyendo a una relajación";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";165
18;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte al uso diario de la descarga de residuos";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";166
19;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";167
20;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";"No brinda información";" No se especifica";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";168
21;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y estabilidad al usuario";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";169
22;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte al uso diario del inodoro";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";170
23;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" Kinesiotape";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";171
24;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"DAR SOPORTE AL PACIENTE DURANTE BAÑO.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";172
25;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";173
26;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento del brazo o para estabilizar la clavícula.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";174
27;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";175
28;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";176
29;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";177
30;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y protección al pie.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";178
31;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";179
32;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";180
33;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";181
34;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"limita parcialmente los movimientos de la muñeca";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";182
35;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";183
36;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";184
37;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Para traslado de pacientes con dificultad para caminar.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";185
38;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar ayuda a la hora de caminar.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";186
39;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento de la rodilla";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";187
40;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y protección al pie.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";188
41;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";189
42;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";190
43;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento de la pantorrilla.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";191
44;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permitir generar ejercicios de rehabilitación.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";192
45;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";193
46;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";194
47;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar ayuda a la hora de caminar.";"No brinda información";" No se especifica";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";195
48;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"limita parcialmente los movimientos de la muñeca";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";196
49;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";197
50;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";198
51;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";199
52;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";200
53;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a la espalda";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";201
54;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento de la rodilla";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";202
55;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y protección al usuario.";"No brinda información";" Theraband";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";203
56;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte al uso diario del inodoro";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";204
57;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar ayuda a la hora de caminar.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";205
58;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte al cuello en uso diario";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";206
59;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Cuña para espalda";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";207
60;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";208
61;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte para movilidad diaria.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";209
62;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a las piernas";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";210
63;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";211
64;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento del brazo o para estabilizar la clavícula.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";212
65;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a la espalda";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";213
66;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";214
67;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";215
68;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"limita parcialmente los movimientos del muslo";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";216
69;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y estabilidad al usuario con discapacidad motriz";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";217
70;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";218
71;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la rehabilitación física";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";219
72;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";220
73;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Reducir el movimiento del brazo o para estabilizar la clavícula.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";221
74;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte a equipo medico";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";222
75;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Soporte cadera";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";223
76;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Soporte codo";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";224
77;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Soporte rotuliano rodilla";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";225
78;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte al uso diario del inodoro";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";226
79;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"mejora la circulación, evitando hinchazones y contribuyendo a una relajación y comodidad óptimas.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";227
80;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Dar soporte y estabilidad al usuario con discapacidad motriz";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";228
81;"No se especifica.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permitir generar ejercicios de rehabilitación.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";229
82;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la movilidad del usuario.";"No brinda información";" No se especifica dicha información.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";230
83;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la movilidad del usuario.";"No brinda información";" No se especifica dicha información.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";231
84;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la movilidad del usuario.";"No brinda información";" No se especifica dicha información.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";232
85;"Gratis (en caso de ser préstamo) o bien alquilado por cuota voluntaria.";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Permite la movilidad del usuario.";"No brinda información";" No se especifica dicha información.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";233
86;"17 mil colones por mes.";"No brinda información";1;"No aplica.";"No brinda información";"No brindaron información";"No brinda información";"Cama ajustable en altura, cabeza, pies y espalda.";"No brinda información";" Drive y MK Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";234
87;"4 mil colones por mes";"No brinda información";1;"No aplica.";"No brinda información";"No brindaron información";"No brinda información";"Permitir al usuario poder bañarse o ser bañado estando sentado";"No brinda información";" Drive y MK Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";235
88;"4 mil colones por mes";"No brinda información";1;"No aplica.";"No brinda información";"No brindaron información";"No brinda información";"Permite al usuario su movilidad.";"No brinda información";" Drive y MK Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";236
89;"7 mil colones por mes";"No brinda información";1;"No aplica.";"No brinda información";"No brindaron información";"No brinda información";"Permitir al usuario poder ser movilizado y auto movilizarse.";"No brinda información";" Drive y MK Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";237
90;"3 mil colones por mes (precio por par de muletas).";"No brinda información";1;"No aplica.";"No brinda información";"No brindaron información";"No brinda información";"Dar apoyo al usuario aSi como movilidad.";"No brinda información";" Drive y MK Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";238
91;"4 mil colones por mes.";"No brinda información";1;"No aplica.";"No brinda información";"No brindaron información";"No brinda información";"Permitir al usuario poder realizar descarga de residuos.";"No brinda información";" Drive y MK Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";239
92;"Gratis, se aceptan cuotas voluntarias";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Instrumento usado para permitir el descanso al usuario.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";240
93;"Gratis, se aceptan cuotas voluntarias";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Instrumento usado para permitir la movilización del usuario.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";241
94;"Gratis, se aceptan cuotas voluntarias";"No brinda información";1;"No aplica.";"No brinda información";"No";"No brinda información";"Instrumento usado para permitir la correcta limpieza del usuario.";"No brinda información";" No se especifica.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";242
95;"40.000 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Utilizado para corregir defectos Posturales en el dorso y área lumbar.";"No brinda información";" Nacional, Blunding.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";243
96;"25.000 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Indicado para torceduras y esguinces a nivel cervical.";"No brinda información";" Nacional, Medipar.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";244
97;"De 1.500.000 a 5.000.000 (según detalles técnicos)";"No brinda información";0;"DE 30 a 60 días hábiles.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para traslado de pacientes con PC. Soporte extra para este tipo de pacientes.";"No brinda información";" invacare";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";245
98;"23.000 CRC (nacional) 25.000 (Chileno) 35.000 (Renolife)";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Ideal para rodillas débiles o con lesiones que necesiten máximo apoyo lateral sin restringir el movimiento.";"No brinda información";" Nacional, Blunding, Renolife";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";246
99;"23000 CRC (nacional) 25000 (Chileno) 35000 (Renolife)";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Acoge la cabeza y la nuca, amoldándose perfectamente a las curvaturas de las mismas";"No brinda información";" Nacional, Blunding, Renolife";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";247
100;"7.500 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Se utiliza para inmovilizar y dar soporte a lesiones en clavícula y brazos.";"No brinda información";" Nacional, Blunding, Medipar";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";248
101;"Muñequera de Soporte Nacional: 6500 CRC Muñequera de Soporte Marca Mueller: 7500 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para tratar esguinces o pequeñas torceduras en la mano.";"No brinda información";" Nacional, Mueller.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";249
102;"23.000 CRC (nacional) 25.000 (Chileno) 35.000 (Renolife)";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Brinda confortable soporte a la columna vertebral durante largos periodos sentado en el trabajo, automóvil o la casa. Mejorando la circulación de la sangre y aliviando la presión de la espalda y hombros.";"No brinda información";" Nacional, Blunding, Renolife";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";250
103;"Andadera con Freno y asiento: 75.000 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para traslado de pacientes con dificultad para caminar.";"No brinda información";" Blunding, Drive Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";251
104;"Andaderas Ajustable 4 puntos: 37.500CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para traslado de pacientes con dificultad para caminar.";"No brinda información";" Blunding, Drive Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";252
105;"Andadera con Ruedas Delanteras: 40.000 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para traslado de pacientes con dificultad para caminar.";"No brinda información";" Blunding, Drive Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";253
106;"23.000 CRC (nacional) 25.000 (Chileno) 35.000 (Renolife)";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Brinda soporte confort y frescura. Su diseño con orificio al centro, evita el roce de la superficie con el área del coxis. Es liviano y fácil de transportar.";"No brinda información";" Nacional, Blunding, Renolife";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";254
107;"Bota Inmovilizadora para Pie con aire 90.000 CRC Bota inmovilizadora para pie sencilla 70.000 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para tratar lesiones y torceduras. Se utiliza como inmovilizador completo de pie 90º. El paciente puede caminar con la bota puesta.";"No brinda información";" Nacional.";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";255
108;"Muleta Ajustable en altura 19.500 CRC";"No brinda información";0;"De 22 días a un mes hábil.";"No brinda información";"La durabilidad varía según el uso. Lo recomendado es cambiarlo cada 6 a 12 meses.";"No brinda información";"Para trasalado de pacientes con dificultad para caminar.";"No brinda información";" Blunding, Drive Medical";"No brinda información";"No brinda información";"No brinda información";"No brinda información";"No brinda información";256
