idPk;code;name;description;observations;image1;image2;image3;visibility;isProduct;onDateUpdated;onDateCreated;daysToOperations;typeDeficiency;age;sex;isForPregnant;isApproved;isChecked;isDeleted;organizationsIdFk
11;"No brinda información";"Terapia Ocupacional";"Trabajar por la población con discapacidad, de toda la Península de Nicoya.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Motora.";{"'age'": "'Desde los 7 años de edad.'"};2;1;1;1;0;27
12;"No brinda información";"Psiquiatría";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;28
13;"No brinda información";"Ortopédia.";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;28
14;"No brinda información";"Audiometrías";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;28
15;"No brinda información";"Serv. Educativos";"No disponibles.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Intelectual no severa, Motriz, auditiva, visual.";{"'age'": "'Desde los 15 años.'"};2;1;1;1;0;31
16;"No brinda información";"Centro Atención Integral";"No disponibles.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Intelectual no severa, Motriz, auditiva, visual.";{"'age'": "'Desde los 15 años.'"};2;1;1;1;0;31
17;"No brinda información";"Terapia Física";"No disponibles.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Intelectual no severa, Motriz, auditiva, visual.";{"'age'": "'Desde los 15 años.'"};2;1;1;1;0;31
18;"No brinda información";"Capacitaciones";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquier discapacidad";{"'age'": "'De todas edades'"};2;1;1;1;0;32
19;"No brinda información";"Terapia Física";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Cualquier discapacidad";{"'age'": "'De todas edades'"};2;1;1;1;0;32
20;"No brinda información";"Terapia ocupacional";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"_______________";{"'age'": "'de 0 a 21 años'"};2;1;1;1;0;33
21;"No brinda información";"Terapia Física";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"_______________";{"'age'": "'de 0 a 21 años'"};2;1;1;1;0;33
22;"No brinda información";"Terapia de Lenguaje";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"_______________";{"'age'": "'de 0 a 21 años'"};2;1;1;1;0;33
23;"No brinda información";"Psiquiatría";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Discapacidad Mental, esquizofrenia, depresión.";{"'age'": "'de Toda edad'"};2;1;1;1;0;34
24;"No brinda información";"Psicología";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Discapacidad Mental, esquizofrenia, depresión.";{"'age'": "'de Toda edad'"};2;1;1;1;0;34
25;"No brinda información";"Terapia Ocupacional";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Discapacidad Mental, esquizofrenia, depresión.";{"'age'": "'de Toda edad'"};2;1;1;1;0;34
26;"No brinda información";"Nutrición";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
27;"No brinda información";"Trabajo Social";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
28;"No brinda información";"Terapia de Lenguaje";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
29;"No brinda información";"Odontología";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
30;"No brinda información";"Terapia Ocupacional";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
31;"No brinda información";"Psicología";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
32;"No brinda información";"Terapia Física";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Todas las discapacidades y niños con riesgo en el desarrollo.";{"'age'": "'desde el nacimiento hasta los 21 años.'"};2;1;1;1;0;54
33;"No brinda información";"Terapia Física";"Que la persona usuaria recupere al máximo su capacidad funcional, mejorando aSi su calidad de vida y de salud.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Toda persona que presente lesiones físicas, deportistas.";{"'age'": "'Toda edad, se da atención a niños y adultos.'"};2;1;1;1;0;35
34;"No brinda información";"Servicio de audiología en general con fabricación de audífonos.";"Servicio de Salud Auditiva con humanismo, tecnología y profesionalismo, para la prevención y tratamiento de la discapacidad auditiva.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Auditiva";{"'age'": "'Toda edad'"};2;1;1;1;0;100
35;"No brinda información";"Terapia ocupacional";"No brinda información.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Niños sordos, cognitiva-lingüística, psicomotriz.";{"'age'": "'de 0 a 15 años'"};2;1;1;1;0;11
36;"No brinda información";"Terapia de Lenguaje";"No brinda información.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Niños sordos, cognitiva-lingüística, psicomotriz.";{"'age'": "'de 0 a 15 años'"};2;1;1;1;0;11
37;"No brinda información";"Estimulación Temprana";"No brinda información.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Niños sordos, cognitiva-lingüística, psicomotriz.";{"'age'": "'de 0 a 15 años'"};2;1;1;1;0;11
38;"No brinda información";"Enseñanza de Lesco";"No brinda información.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Niños sordos, cognitiva-lingüística, psicomotriz.";{"'age'": "'de 0 a 15 años'"};2;1;1;1;0;11
39;"No brinda información";"Terapia Física y Rehabilitación";"Mejoramiento de la calidad de vida de la persona usuaria del servicio que se brinda e independencia funcional, al evolucionar al 100 % de la lesión que presenta. Prevención de padecimientos físicos (articulares, musculares, neurológicos)";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Toda discapacidad que requiera el servicio que brindan.";{"'age'": "'Toda edad'"};2;1;1;1;0;38
40;"No brinda información";"Serv. Educativos (Manualidades para la independencia)";"Atención a personas con discapacidad.";"Actualmente hay 36 usuarios. Se brindan capacitaciones en Manualidades, Panadería y Agricultura Orgánica para generar posibles fuentes de autoempleo.";imagen;imagen;imagen;1;0;2018-02-12 12:14:11;2018-02-12 12:14:11;{};"Visual, auditiva, motriz, intelectual. Se hace una valoración para ver si la persona puede pertenecer al grupo de trabajo.";{"'age'": "'Mayor de 18 años.'"};2;1;1;1;0;39
41;"No brinda información";"Adecuación Curricular No Significativa";"Educación Superior Parauniversitaria.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'de 18 años en adelante'"};2;1;1;1;0;40
42;"No brinda información";"Apoyos Didácticos";"Educación Superior Parauniversitaria.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'de 18 años en adelante'"};2;1;1;1;0;40
43;"No brinda información";"Serv. Terapia Física";"Brindar capacitación educativa para la independencia de nuestros usuarios.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Motriz.";{"'age'": "'Mayor de edad.'"};2;1;1;1;0;41
44;"No brinda información";"Centro atención integral.";"Brindar capacitación educativa para la independencia de nuestros usuarios.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Puede ser visual, auditiva, intelectual no severa o bien motriz.";{"'age'": "'Mayor de edad.'"};2;1;1;1;0;41
45;"No brinda información";"Serv. educativos";"Brindar capacitación educativa para la independencia de nuestros usuarios.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Puede ser visual, auditiva, intelectual no severa o bien motriz.";{"'age'": "'Mayor de edad.'"};2;1;1;1;0;41
46;"No brinda información";"Presupuesto para apoyar ONG’S que atienden personas con discapacidad en el Cantón.";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'No brinda información.'"};2;1;1;1;0;42
47;"No brinda información";"Serv. Educativos: Manualidades.";"NO HAY.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Motriz (artrítico)";{"'age'": "'15 años en adelante.'"};2;1;1;1;0;43
48;"No brinda información";"Terapia de Lenguaje";"La Asociación Pro Niños con Parálisis Cerebral María Auxiliadora de Cartago, es una organización no gubernamental (ONG), sinFines: de lucro y de bienestar social, compuesta por niños, adolescentes y adultos jóvenes de la provincia de Cartago, en su mayoría con lesiones cerebrales, enfermedades degenerativas-progresivas, malformaciones genéticas y congénitas y de bajo nivel socio-económico.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Parálisis cerebral.";{"'age'": "'Según necesidad.'"};2;1;1;1;0;44
49;"No brinda información";"Terapia Física";"La Asociación Pro Niños con Parálisis Cerebral María Auxiliadora de Cartago, es una organización no gubernamental (ONG), sinFines: de lucro y de bienestar social, compuesta por niños, adolescentes y adultos jóvenes de la provincia de Cartago, en su mayoría con lesiones cerebrales, enfermedades degenerativas-progresivas, malformaciones genéticas y congénitas y de bajo nivel socio-económico.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Parálisis cerebral.";{"'age'": "'Según necesidad.'"};2;1;1;1;0;44
50;"No brinda información";"Centro Atención Integral";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Motriz, visual, auditiva, intelectual no severa.";{"'age'": "'Mayor de 15 años en adelante.'"};2;1;1;1;0;45
51;"No brinda información";"Serv. Educativos.";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Motriz, visual, auditiva, intelectual no severa.";{"'age'": "'Mayor de 15 años en adelante.'"};2;1;1;1;0;45
52;"No brinda información";"Terapia Ocupacional";"-";"Estos profesionales, los paga el MEP a través del convenio que existe del CAIPAD.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Motriz, visual, auditiva, intelectual no severa.";{"'age'": "'Mayor de 15 años en adelante.'"};2;1;1;1;0;45
53;"No brinda información";"Terapia Física";"-";"Estos profesionales, los paga el MEP a través del convenio que existe del CAIPAD.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Motriz, visual, auditiva, intelectual no severa.";{"'age'": "'Mayor de 15 años en adelante.'"};2;1;1;1;0;45
54;"No brinda información";"Fisioterapia";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;46
55;"No brinda información";"Audiometría";"-";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'de Cualquier edad'"};2;1;1;1;0;46
56;"No brinda información";"Terapia Ocupacional";"a. Fortalecer la Institución para la Atención Integral a Personas Adultas con Discapacidad, a fin de ayudar en su formación para el desenvolvimiento y desarrollo laboral y familiar. b. Promover la rehabilitación integral de las personas con discapacidad para su mayor funcionalidad, tanto a nivel social como laboral. c. Incorporar a los programas de la Asociación a familiares de jóvenes y adultos y a grupos organizados de la comunidad que coadyuven a lograr los objetivos y programas de la misma. d. Promover la participación activa de la población en general para lograr el desarrollo integral de las personas Adultas con Discapacidad.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Intelectual";{"'age'": "'de 21 años hasta 65 años.'"};2;1;1;1;0;47
57;"No brinda información";"Centro Atención Integral";"a. Fortalecer la Institución para la Atención Integral a Personas Adultas con Discapacidad, a fin de ayudar en su formación para el desenvolvimiento y desarrollo laboral y familiar. b. Promover la rehabilitación integral de las personas con discapacidad para su mayor funcionalidad, tanto a nivel social como laboral. c. Incorporar a los programas de la Asociación a familiares de jóvenes y adultos y a grupos organizados de la comunidad que coadyuven a lograr los objetivos y programas de la misma. d. Promover la participación activa de la población en general para lograr el desarrollo integral de las personas Adultas con Discapacidad.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Intelectual";{"'age'": "'de 21 años hasta 65 años.'"};2;1;1;1;0;47
58;"No brinda información";"Serv. Educativos";"a. Fortalecer la Institución para la Atención Integral a Personas Adultas con Discapacidad, a fin de ayudar en su formación para el desenvolvimiento y desarrollo laboral y familiar. b. Promover la rehabilitación integral de las personas con discapacidad para su mayor funcionalidad, tanto a nivel social como laboral. c. Incorporar a los programas de la Asociación a familiares de jóvenes y adultos y a grupos organizados de la comunidad que coadyuven a lograr los objetivos y programas de la misma. d. Promover la participación activa de la población en general para lograr el desarrollo integral de las personas Adultas con Discapacidad.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Intelectual";{"'age'": "'de 21 años hasta 65 años.'"};2;1;1;1;0;47
59;"No brinda información";"Serv. Terapia Física";"Dotar a la Zona Norte de más alternativas de servicios de atención a las personas con discapacidad como complemento a las otras entidades conFines: de discapacidad, que funcionan en San Carlos.";"Visitan a las personas con discapacidad en sus domicilios para dar el apoyo que requieren.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'Mayor de 15 años.'"};2;1;1;1;0;48
60;"No brinda información";"Serv. Apoyo Legal";"Dotar a la Zona Norte de más alternativas de servicios de atención a las personas con discapacidad como complemento a las otras entidades conFines: de discapacidad, que funcionan en San Carlos.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'Mayor de 15 años.'"};2;1;1;1;0;48
61;"No brinda información";"Terapia Ocupacional";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población. Las personas con discapacidad tengan acceso a todos los servicios acordes a sus características.";"Actualmente hay 57 beneficiarios.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera, se analiza en junta si la persona puede formar parte del programa.";{"'age'": "'18 años en adelante.'"};2;1;1;1;0;49
62;"No brinda información";"Centro de Atención Integral";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población. Las personas con discapacidad tengan acceso a todos los servicios acordes a sus características.";"Actualmente hay 57 beneficiarios. Los usuarios pagan ¢2 mil colones por mes como cuotas voluntarias para mantenimiento del lugar.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'18 años en adelante.'"};2;1;1;1;0;49
63;"No brinda información";"Terapia Física";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población. Las personas con discapacidad tengan acceso a todos los servicios acordes a sus características.";"Actualmente hay 57 beneficiarios.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera";{"'age'": "'18 años en adelante.'"};2;1;1;1;0;49
64;"No brinda información";"Serv. Educativos";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población. Las personas con discapacidad tengan acceso a todos los servicios acordes a sus características.";"Actualmente hay 57 beneficiarios.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Cualquiera, se analiza en junta si la persona puede formar parte del programa.";{"'age'": "'18 años en adelante.'"};2;1;1;1;0;49
65;"No brinda información";"Centro educativo - Educación especial curricular.";"No brindaron información.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Retardo Mental (leve o grave).";{"'age'": "'21 - 65 años.'"};2;1;1;1;0;50
66;"No brinda información";"Servicio asistencia económica para pacientes en fase terminal";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Persona con discapacidad, motriz, visual, auditiva, intelectual.";{"'age'": "'Desde los 0 años.'"};2;1;1;1;0;2
67;"No brinda información";"Servicio alquiler o préstamo de sillas ruedas no ortopedicas.";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Persona con discapacidad, motriz, visual, auditiva, intelectual.";{"'age'": "'Desde los 0 años.'"};2;1;1;1;0;2
68;"No brinda información";"Serv. Alquiler de Andaderas";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Persona con discapacidad, motriz, visual, auditiva, intelectual.";{"'age'": "'Desde los 5 años.'"};2;1;1;1;0;2
69;"No brinda información";"Servicio alquiler o préstamo de Camas Hospitalarias.";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Persona con discapacidad, motriz, visual, auditiva, intelectual.";{"'age'": "'Desde los 0 años.'"};2;1;1;1;0;2
70;"No brinda información";"Serv. Alquiler de Muletas";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Persona con discapacidad, motriz, visual, auditiva, intelectual.";{"'age'": "'Desde los 5 años.'"};2;1;1;1;0;2
71;"No brinda información";"Serv. Terapia Ocupacional";"-Promoción de la salud mental de la población. -Atención a la validación de los derechos humanos de las personas con trastorno mental.";"Actualmente hay 40 personas beneficiarias en los talleres autonomía (terapia ocupacional).";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Multiple";{"'age'": "'18 a 60 años máximo.'"};2;1;1;1;0;51
72;"No brinda información";"Casa Hogar Comunitario";"-Promoción de la salud mental de la población. -Atención a la validación de los derechos humanos de las personas con trastorno mental.";"Actualmente hay 9 personas beneficiarias.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Intelectual leve o severa.";{"'age'": "'18 a 60 años máximo.'"};2;1;1;1;0;51
73;"No brinda información";"Terapia Ocupacional";"Desarrollar programas de enseñanza especial para adultos con discapacidad intelectual. Desarrollar programas de asistencia familiar. Coordinar y apoyar actividades con otras organizaciones gubernamentales y privadas dedicadas directa o indirectamente a la prevención, atención y bienestar de personas con discapacidad en Costa Rica.";"No brinda información.";imagen;imagen;imagen;1;0;2018-02-12 12:14:12;2018-02-12 12:14:12;{};"Discapacidad Intelectual";{"'age'": "'de mayores de 21 años'"};2;1;1;1;0;52
