"title";"eprint";"author";"abstract";"url"
"Synthesis and presentation of the Polish sign language gestures";"https://scholar.google.comhttp://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.16.7859&rep=rep1&type=pdf";"P Fabian and J Francik - 1st International Conf. on Applied Mathematics and … and 2001";"...One of the few systems intended for the sign languages is Hamburg Notation System (HamNoSys) [6 ...A test version of an avatar has already been implemented, giving very promising ...The future works involve experiments with another avatars and another anima- tion techniques ...";"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.16.7859&rep=rep1&type=pdf"
"Combining data-driven MT systems for improved sign language translation";"https://scholar.google.comhttp://doras.dcu.ie/15229/1/MorrisseyEtAl_summit_07.pdf";"S Morrissey and A Way and D Stein and J Bungeroth and H Ney";"...MaTrEx system and RWTH's SMT system with a view to combining their methodologies for translating sign languages ...SL translations of spoken lan- guage through the medium of an avatar, thereby al ...leads naturally to the merging of both systems to allow for translation from SL ...";"http://doras.dcu.ie/15229/"
"Multimedia Courses Generator for Deaf Children.";"https://scholar.google.comhttp://ccis2k.org/iajit/PDF/vol.6,no.5/4.pdf";"O El Ghoul and M Jemni - … Arab Journal of Information Technology (IAJIT) and 2009";"...In fact, the automatic translation from the written language to the sign language is a promising … Some sign languages have obtained some form of legal recognition, while others have no status at ...Our web tool provides an avatar witch play the sign already translated by WebSign ...";"http://ccis2k.org/iajit/PDF/vol.6,no.5/4.pdf"
"A Review on 3D signing avatars: Benefits, uses and challenges";"";"K Jaballah and M Jemni - … Journal of Multimedia Data Engineering and … and 2013";"...to educational material as well as full dictionaries 2 for many Sign Languages 3 , signing ...Signing avatars offer many advantages related to the pedagogic practices in education ...This has been confirmed by researchers who created a 3D signing avatar called “Mathsigner” aiming ...";"https://www.igi-global.com/article/a-review-on-3d-signing-avatars/78746"
"An Avatar Based Translation System from Arabic Speech to Arabic Sign Language for Deaf People";"https://scholar.google.comhttp://paper.ijcsns.org/07_book/201312/20131207.pdf";"SM Halawani and D Daman and S Kari - International Journal of … and 2013";"...Based Translation System for ArSL (ABTS-ArSL) grammar developed to focus on practical sign languages ...described the ABTS-ArSL system to translate a speech in Arabic directly to avatars … The building of the sign and Avatar databases are feasible with the right resources ...";"http://search.proquest.com/openview/2e91f152a932c83cd72886e986a2ec61/1?pq-origsite=gscholar&cbl=1026368"
"Technology for supporting web information search and learning in Sign Language";"https://scholar.google.comhttps://www.uv.es/infabra/Fajardo2009INTCOM1697.pdf";"I Fajardo and M Vigo and L Salmerón - Interacting with Computers and 2009";"...Sign Languages (SL) are underrepresented in the digital world, which contributes to the digital … in SL by means of videos of human signers or avatars, the debate ...Avatar technology, generally associated with automatic text-SL translators, reduces bandwidth requirements and ...";"https://academic.oup.com/iwc/article-abstract/21/4/243/716096"
"Hearing impairments";"https://scholar.google.comhttps://pdfs.semanticscholar.org/fed8/0463d04f984f36c4a008aee62ee409ee8396.pdf";"A Cavender and RE Ladner - Web Accessibility and 2008";"...Some projects focus on translation challenges by attempting to formalize a grammar for sign languages (Zhao et al ...by the clerk to a limited set of pre-defined phrases that the graphics avatar is then ...Current signing avatars are improving, but are a long way from being satisfactory ...";"https://link.springer.com/chapter/10.1007/978-1-84800-050-6_3"
"A knowledge-based sign synthesis architecture";"https://scholar.google.comhttp://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.304.9957&rep=rep1&type=pdf";"SE Fotinea and E Efthimiou and G Caridakis… - Universal Access in the … and 2008";"...nonmanual behaviors, or nonmanual signals, are an important part of sign languages, since they ...respect to animation technologies, and it may be true that avatar representations will ...difficult to produce acceptable sentences in the context of automatic translation of unrestricted ...";"https://link.springer.com/article/10.1007/s10209-007-0094-8"
"A web-based tool to create online courses for deaf pupils";"https://scholar.google.comhttps://www.researchgate.net/profile/Mohamed_Jemni/publication/235763186_imcl_2007_final/links/0fcfd5134a9600c253000000.pdf";"M Jemni and O Elghoul and S Makhlouf - International conference on … and 2007";"...Furthermore, the automatic translation from the written language to the sign language is very complicated ...world and are at the core of local Deaf cultures [8]. Some sign languages have obtained ...Our web tool provides an avatar witch plays the sign already translated by Websign ...";"https://www.researchgate.net/profile/Mohamed_Jemni/publication/235763186_imcl_2007_final/links/0fcfd5134a9600c253000000.pdf"
"Czech-sign speech corpus for semantic based machine translation";"https://scholar.google.comhttp://www.kky.zcu.cz/cs/publications/1/KanisJ_2006_Czech-signspeech.pdf";"J Kanis and J Zahradil and F Jurčíček and L Müller - International Conference on Text … and 2006";"...work about CSE syntax, but first studies show that the CSE shares some syntactic structures with others sign languages ...to the sign language (a speech recognizer on one side and a translation system and graphical avatar on the ...3.3 Semantic Based Machine Translation ...";"https://link.springer.com/chapter/10.1007/11846406_77"
"Animating sign language in the real time";"https://scholar.google.comhttps://www.researchgate.net/profile/Jaroslaw_Francik/publication/2494990_Animating_Sign_Language_in_the_Real_Time/links/59158a104585152e199ed82a/Animating-Sign-Language-in-the-Real-Time.pdf";"J Francik and P Fabian - APPLIED INFORMATICS-PROCEEDINGS- and 2002";"...The test results are very good: A 800*600 pixels large image with moving avatar is refreshed at rates from 50 to 90 fps, depending on ...It makes it possible to import avatars designed with Autodesk 3D Studio® pack- age ...Version 2.0; Hamburg Notation System for Sign Languages ...";"https://www.researchgate.net/profile/Jaroslaw_Francik/publication/2494990_Animating_Sign_Language_in_the_Real_Time/links/59158a104585152e199ed82a/Animating-Sign-Language-in-the-Real-Time.pdf"
"Czech text-to-sign speech synthesizer";"https://scholar.google.comhttp://www.kky.zcu.cz/en/publications/1/KrnoulZ_2008_CzechText-to-Sign.pdf";"Z Krňoul and J Kanis and M Železný and L Müller - International Workshop on … and 2007";"...converts this textual sign representation to an animation of an artificial human model (avatar) … The symbolic notation Ham- NoSys1 (Hamburg Notation System for Sign Languages) was applied for ...problems with out-of-vocabulary words (OOV) in the automatic translation area ...";"https://link.springer.com/chapter/10.1007/978-3-540-78155-4_16"
"Arabic text to Arabic sign language translation system for the deaf and hearing-impaired community";"https://scholar.google.comhttp://www.aclweb.org/anthology/W11-2311";"A Almohimeed and M Wald and RI Damper - Proceedings of the Second … and 2011";"...One can either use an avatar or, as here, concatenate video clips at the expense of fluency. The last problem is finding a way to evaluate SL output ...2006. Automatic translation of Arabic text to Arabic Sign Language ...2008. Data-Driven Machine Transla- tion for Sign Languages ...";"https://dl.acm.org/citation.cfm?id=2140515"
"Generating American Sign Language classifier predicates for English-to-ASL machine translation";"https://scholar.google.comhttp://eniac.cs.qc.cuny.edu/matt/pubs/huenerfauth-2006-dissertation.pdf";"M Huenerfauth and M Marcus and M Palmer";"...Page 20. 4 encounters an input text that it cannot translate successfully (eg if some part of ...the generation of sign languages, and it discusses how ASL research can contribute to the ...There has been limited progress in the development of machine translation software ...";"http://eniac.cs.qc.cuny.edu/matt/pubs/huenerfauth-2006-dissertation.pdf"
"Evaluating a Swiss German Sign Language avatar among the deaf community";"https://scholar.google.comhttp://www.academia.edu/download/37670258/ebling-2013.pdf";"S Ebling - … Symposium on Sign Language Translation and Avatar … and 2013";"...Towards the Integration of Synthetic SL Animation with Avatars into Corpus Annotation Tools. In 4th Workshop on the Representation and Processing of Sign Languages: Corpora and ...Linguistic modelling and language-processing technologies for avatar-based sign language ...";"http://www.academia.edu/download/37670258/ebling-2013.pdf"
"Multimedia with animated sign language for deaf learners";"https://scholar.google.comhttps://www.learntechlib.org/p/20829/proceeding_20829.pdf";"M Verlinden and I Zwitserlood and H Frowein - EdMedia: World Conference … and 2005";"...1). Figure 1: Avatar 'vGuido' makes the citation form of the Dutch sign for 'to visit' ...The current knowledge of the grammar of most sign languages is still insufficient, and even for well-known spoken languages such English and French, automatic translation of texts is still ...";"https://www.learntechlib.org/p/20829/"
"A formulaic approach to translation at the post office: reading the signs";"https://scholar.google.comhttps://www.era.lib.ed.ac.uk/bitstream/handle/1842/966/WrayCoxetal2004.pdf?sequence=1";"A Wray and S Cox and M Lincoln and J Tryggvason - Language & Communication and 2004";"...be misinterpreted and/or misexpressed, or that the system will simply be unable to translate it … of a phrase or word, are retrieved and assembled on-line to create the required translation ...be required for videoclips, since the bandwidth of the signal for instructing the avatar is much ...";"https://www.sciencedirect.com/science/article/pii/S0271530903000314"
"Corpus linguistics and signed languages: no lemmata, no corpus";"https://scholar.google.comhttp://www.ling.su.se/polopoly_fs/1.68034.1325063693!/menu/standard/file/W25_Proceedings.pdf#page=82";"T Johnston - … the Representation and Processing of Sign Languages and 2008";"...synthesis (ˇZelezný et al., 2006; Krnoul et al., 2008), and the bidirectional translation between the ...Both editors share a feedback given by the avatar animation as support for the created ...notations for a general purpose and also for gestures of various sign languages (Stokoe et al ...";"http://www.ling.su.se/polopoly_fs/1.68034.1325063693!/menu/standard/file/W25_Proceedings.pdf#page=82"
"An Avatar based approach for automatically interpreting a sign language notation";"https://scholar.google.comhttps://www.researchgate.net/profile/Yosra_Bouzid/publication/261501197_An_Avatar_Based_Approach_for_Automatically_Interpreting_a_Sign_Language_Notation/links/563c930c08ae405111aa2970/An-Avatar-Based-Approach-for-Automatically-Interpreting-a-Sign-Language-Notation.pdf";"Y Bouzid and M Jemni - Advanced Learning Technologies (ICALT) … and 2013";"...To this end, a number of systems have been created for representing sign languages in written … The representation of the ASL sign “salute” in SignWriting and its SWML translation are given in ...in the SWML encoding, which make it difficult to drive automatically a signing avatar ...";"http://ieeexplore.ieee.org/abstract/document/6601874/"
"Image-based and sensor-based approaches to Arabic sign language recognition";"https://scholar.google.comhttps://pdfs.semanticscholar.org/7379/a7863da4c640fa2a5ac1b964b56cfbac7dd8.pdf";"M Mohandes and M Deriche and J Liu - IEEE transactions on human … and 2014";"...it is important to further enhance the performance of existing sign to speech translation systems, a ...systems able to translate text or voice into signs performed by avatars or human ...Developing such systems will also contribute to two-way communication across sign languages ...";"http://ieeexplore.ieee.org/abstract/document/6814287/"
"Automatic translation system to Spanish Sign Language with a virtual interpreter";"https://scholar.google.comhttps://link.springer.com/content/pdf/10.1007/978-3-642-03655-2_23.pdf";"S Baldassarri and E Cerezo and F Royo-Santas - IFIP Conference on Human … and 2009";"...developed a translator based on Spanish grammar that uses VGuido, an eSIGN avatar, but their … mood, emotions and facial expressions are an integral part of sign languages [5]. Words ...50, 1009–1020 (2008) 5. Olivrin, G.: Composing Facial expressions with signing avatars ...";"https://link.springer.com/chapter/10.1007/978-3-642-03655-2_23"
"An Avatar-Based Italian Sign Language Visualization System";"https://scholar.google.comhttps://pdfs.semanticscholar.org/0967/eb0fcf55096997853467e8612370ec847776.pdf";"A Falletto and P Prinetto and G Tiotto - International Conference on Electronic … and 2008";"...activities focused on the creation of characters for video games and the definition of Avatars acting as ...An Avatar-Based Italian Sign Language Visualization System 159 ...out that in Italy, ISL suffers a heavy regional influence; as a consequence, since sign languages varies form ...";"https://link.springer.com/chapter/10.1007/978-3-642-00413-1_19"
"Investigating the feasibility factors of synthetic sign language visualization methods on mobile phones";"https://scholar.google.comhttps://www.researchgate.net/profile/James_Connan/publication/220803438_Investigating_the_feasibility_factors_of_synthetic_sign_language_visualization_methods_on_mobile_phones/links/56a0d09b08ae4af5254cdf27/Investigating-the-feasibility-factors-of-synthetic-sign-language-visualization-methods-on-mobile-phones.pdf";"M Ghaziasgar and J Connan - Proceedings of the 2010 Annual Research … and 2010";"...Very few studies have been carried out, in this respect, for sign languages, and none that ...In contrast, Facial, NoFacial and LowRes animations are produced by means of an avatar ...Also, the avatars may be parameterized and fed input to dynamically and automatically produce ...";"https://dl.acm.org/citation.cfm?id=1899513"
"The development of a generic signing avatar";"";"L van Zijl and J Fourie - … of the IASTED International Conference on … and 2007";"...Both avatars were given the same script as input ...The facial expressions for sign languages require control over eyebrows, eyelids, eye gaze, lips, tongue, mouth and also cheek ...When facial animation is required, the SYNENOESSE project requires an MPEG-4 avatar model ...";"http://www.actapress.com/PDFViewer.aspx?paperId=29409"
"Assistive translation technology for deaf people: translating into and animating Irish sign language";"https://scholar.google.comhttp://doras.dcu.ie/15199/1/Morrissey_icchp_08.pdf";"S Morrissey";"...Machine Translation (MT) for sign languages (SLs) can fa- cilitate communication between Deaf … researching improved chunking methodologies to im- prove translations, increased avatar development to ...bi-directional SL MT system, including provision for SL–SL translation ...";"http://doras.dcu.ie/15199/"
"SignSynth: A sign language synthesis application using Web3D and Perl";"https://scholar.google.comhttp://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.16.702&rep=rep1&type=pdf";"AB Grieve-Smith - International Gesture Workshop and 2001";"...of handshapes, locations and movements used in American Sign Language, let alone other sign languages ...1996) 135 2. Grieve-Smith, A.: English to American Sign Language Translation of Weather Re ...136 3. Verlinden, M., Tijsseling, C., Frowein, H: A signing Avatar on the ...";"https://link.springer.com/chapter/10.1007/3-540-47873-6_14"
"The South African sign language machine translation project: issues on non-manual sign generation";"https://scholar.google.comhttp://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.98.3591&rep=rep1&type=pdf";"L Van Zijl and A Combrink - Proceedings of the 2006 annual research … and 2006";"...point of view, this seems one of the most sensible approaches for linguistically under-investigated sign languages ...in the final generation of the output for the signing avatar, and are ...5. CONCLUSION We reported on the South African Sign Language Machine Translation project ...";"https://dl.acm.org/citation.cfm?id=1216276"
"A sign language screen reader for Deaf";"";"O El Ghoul and M Jemni - Symposium of the Austrian HCI and Usability … and 2009";"...is the use of existing resources (such that, there is no need to develop operating systems or applications in sign languages) ...In this paper, we have presented a new screen reader dedicated to deaf using avatar technology and real time sign language machine translation ...";"https://link.springer.com/chapter/10.1007/978-3-642-10308-7_35"
"Building a Swiss German Sign Language avatar with JASigning and evaluating it among the Deaf community";"";"S Ebling and J Glauert - Universal Access in the Information Society and 2016";"...a model of sign production based on the Hamburg Notation System for Sign Languages (HamNoSys) [18 ...With this, it is possible to switch avatars within a SiGML sequence ...an online survey to assess the overall acceptance and comprehensibility of the DSGS avatar is scheduled ...";"https://link.springer.com/article/10.1007/s10209-015-0408-1"
"Developing an e-Learning platform for the Greek Sign Language";"https://scholar.google.comhttp://manolito.image.ece.ntua.gr/papers/288.pdf";"E Efthimiou and G Sapountzaki and K Karpouzis… - … on Computers for … and 2004";"...3 Animation Applications for the Representation of Sign Languages ...of the individual gestures and signs from the definition of the geometry and hierarchy of the avatar; as a result ...The avatars that are utilized here are compliant with the h- anim standard, so one can use any of the ...";"https://link.springer.com/chapter/10.1007/978-3-540-27817-7_163"
"An overview of the sigml notation and sigml signing software system";"https://scholar.google.comhttps://pdfs.semanticscholar.org/bcfc/6f0a28adcbc01f2ccfc9dc768096b13cb2fe.pdf#page=108";"R Elliott and JRW Glauert and V Jennings… - Fourth International … and 2004";"...natural language subsystem is designed to support out- put for several different national sign languages ...The HamNoSys-to-SiGML translation takes the form of an additional processing pipeline ...in SiGML, and providing the corresponding animation on any avatar which supports ...";"https://pdfs.semanticscholar.org/bcfc/6f0a28adcbc01f2ccfc9dc768096b13cb2fe.pdf#page=108"
"Improving accessibility for deaf people: an editor for computer assisted translation through virtual avatars.";"";"D Barberis and N Garazzino and P Prinetto… - The proceedings of the … and 2011";"...Computer Assisted Translation Through Virtual Avatars ...Having the possibility to synthesize Sign Languages would be of great interest for Deaf People, as could improve ...The user adds linguistic and articulatory in- formation needed for the avatar to properly sign the translation ...";"https://dl.acm.org/citation.cfm?id=2049593"
"Preliminary study on a sign-language chatting system between Korea and Japan for avatar communication on the internet";"";"SW Kim and JY Oh and S Tanahashi and Y Aoki - IEICE TRANSACTIONS on … and 2000";"...To exaggerate the advan- tages of avatars, we apply sign-language to this system as a ...As a preliminary study on the avatar communi- cation, we develop a sign-language chatting ...shapes as well as gestures[6]. Since the style of translating between sign- languages is different ...";"https://search.ieice.org/bin/summary.php?id=e83-a_2_386"
"Sign language generation using HPSG";"https://scholar.google.comhttp://www.mt-archive.info/TMI-2002-Marshall.pdf";"I Marshall and É Sáfár - … Methodological Issues in Machine Translation  … and 2002";"...An overview of the language-processing component of an English- Text to Sign-Languages translation system is described focusing ...Research over the past half century, however, has lead to greater recognition of sign languages and the ...'Virtual human' (avatar) technology has ...";"http://www.mt-archive.info/TMI-2002-Marshall.pdf"
"Signing for the deaf using virtual humans";"https://scholar.google.comhttps://www.era.lib.ed.ac.uk/bitstream/handle/1842/974/Bangham.pdf?sequence=1&isAllowed=y";"JA Bangham and SJ Cox and M Lincoln and I Marshall and M Tutt…";"...Hence, the focus of current work in this area (reported later) is to convert English textual information to national sign languages such as ...a PO counter clerk and a signing person by translating the clerk's speech to sign language and displaying it using an avatar ...Signing Avatars ...";"http://digital-library.theiet.org/content/conferences/10.1049/ic_20000134"
"Providing support for sign languages in middlewares compliant with ITU J. 202";"";"FLS Ferreira and FH Lemos and GPB Neto… - … (ISM) and 2011 IEEE … and 2011";"...of a LIBRAS Dictionary with signs represented by a 3D- virtual animated agent (a 3D-avatar) … proposal for future work, we intend to develop the proposed solution for other sign languages in different ...There are no major problems I do not approve the use of avatars The quality of ...";"http://ieeexplore.ieee.org/abstract/document/6123339/"
"Search-by-example in multilingual sign language databases";"https://scholar.google.comhttps://pdfs.semanticscholar.org/9239/7e4f671509c2af1e3347815f7ed1514954a9.pdf";"R Elliott and H Cooper and EJ Ong… - … Translation and … and 2011";"...All the usual signing avatar controls are available so that the size and viewing angle of each of ...for all avatars, it would be a simple matter to allow a choice of avatars, using different ...tool, it has not been designed to fulfil a specific need for translation be- tween sign languages ...";"https://pdfs.semanticscholar.org/9239/7e4f671509c2af1e3347815f7ed1514954a9.pdf"
"WebSign: A system to make and interpret signs using 3D Avatars";"https://scholar.google.comhttp://vhg.cmp.uea.ac.uk/demo/SLTAT2011Dundee/15.pdf";"O ElGhoul and M Jemni - … on Sign Language Translation and Avatar … and 2011";"...contexts like chat, animation of robots, virtual characters or non-signer avatars, not necessary … to generate the whole set of natural human expressions including those used in sign languages … This system uses a new language to describe sign and avatar gestures in addition to ...";"http://vhg.cmp.uea.ac.uk/demo/SLTAT2011Dundee/15.pdf"
"Sign language on the WWW";"https://scholar.google.comhttps://www.researchgate.net/profile/Corrie_Tijsseling/publication/228919873_Sign_Language_on_the_WWW/links/09e41510cf4d101b4f000000.pdf";"M Verlinden and C Tijsseling… - Proceedings of 18th Int … and 2001";"...this prototype application has given useful information about the quality of the signing avatar. Key words: animation; avatars; sign language; semi-automatic translation; Internet; world-wide … Language as one language is in fact not correct because there are many sign languages ...";"https://www.researchgate.net/profile/Corrie_Tijsseling/publication/228919873_Sign_Language_on_the_WWW/links/09e41510cf4d101b4f000000.pdf"
"SignWriting on mobile phones for the deaf";"";"AS Ahmed and DSK Seong - … of the 3rd international conference on Mobile … and 2006";"...Furthermore, 'signing software' uses avatars for teaching English and ASL [22 ...current lack of sign recognition; their communication is one-way, from the avatar to the ...2.3 Writing sign languages Research and activities have been conducted to propagate SignWriting; most recent ...";"https://dl.acm.org/citation.cfm?id=1292363"
"Computing technologies for deaf and hard of hearing users";"";"VL Hanson - Human-Computer Interaction: Designing for Diverse … and 2009";"...A current research focus in avatar work is on natural language translation and exploring techniques to display native sign languages by avatars (eg, see ...As mentioned with the avatar work presented earlier, the ASL/English rules that would be needed for such translation are ...";"https://books.google.com/books?hl=en&lr=&id=foE8AnfQmZoC&oi=fnd&pg=PA125&dq=%22sign+languages%22+,+avatar,+translation&ots=QwgniibgiM&sig=ZZoPpi1-JIhrBnHa5NqGxMwIvd0"
"Kinect Sign Language Translator expands communication possibilities";"https://scholar.google.comhttps://pdfs.semanticscholar.org/d5f2/59e7d095c12b990e20fb6bc0e63b3680debe.pdf";"X Chen and H Li and T Pan and S Tansley… - … /2013 and Disponível em:< … and 2013";"...The non- signer is represented by an avatar that takes his or her spoken ...sign-language communication between signer and non-signer, and offers translation between different sign languages ...from Microsoft Research Asia, where a great deal of automated translation work was ...";"https://pdfs.semanticscholar.org/d5f2/59e7d095c12b990e20fb6bc0e63b3680debe.pdf"
"Spatialised semantic relations in French Sign Language: toward a computational modelling";"";"A Braffort and F Lejeune - International Gesture Workshop and 2005";"...in image processing, automatic recognition, generation of writing forms or realisation by signing avatars ...If linguistic studies devoted to particular aspects of sign languages such as iconicity or … an appli- cation of simple FSL utterance generation, performed by a signing avatar ...";"https://link.springer.com/chapter/10.1007/11678816_4"
"Assessing three representation methods for sign language machine translation and evaluation";"https://scholar.google.comhttp://mt-archive.info/EAMT-2011-Morrissey.pdf";"S Morrissey - … of the European Association for Machine Translation  … and 2011";"...Previous research into MT for sign languages (SLs) has shown lit- tle consistency or agreement on the ...Our second option is to make use of an animated avatar tool that will take in ...the evaluation such as their experience and opinion of animated sign- ing and avatars, their level ...";"http://mt-archive.info/EAMT-2011-Morrissey.pdf"
"Release of experimental stimuli and questions for evaluating facial expressions in animations of American Sign Language";"https://scholar.google.comhttps://www.researchgate.net/profile/Hernisa_Kacorri/publication/302898510_Release_of_Experimental_Stimuli_and_Questions_for_Evaluating_Facial_Expressions_in_Animations_of_American_Sign_Language/links/5732c89d08ae298602da3f36/Release-of-Experimental-Stimuli-and-Questions-for-Evaluating-Facial-Expressions-in-Animations-of-American-Sign-Language.pdf";"M Huenerfauth and H Kacorri - … and Processing of Sign Languages … and 2014";"...In Proceedings of the 5th Workshop on the Representation and Processing of Sign Languages: Interactions between Corpus and Lexicon, The 8th International Conference on ...Third International Symposium on Sign Language Translation and Avatar Technology (SLTAT) ...";"https://www.researchgate.net/profile/Hernisa_Kacorri/publication/302898510_Release_of_Experimental_Stimuli_and_Questions_for_Evaluating_Facial_Expressions_in_Animations_of_American_Sign_Language/links/5732c89d08ae298602da3f36/Release-of-Experimental-Stimuli-and-Questions-for-Evaluating-Facial-Expressions-in-Animations-of-American-Sign-Language.pdf"
"A study of sign language coarticulation";"https://scholar.google.comhttp://websourd.wdfiles.com/local--files/jeremie-segouat/Segouat.pdf";"J Segouat - ACM SIGACCESS Accessibility and Computing and 2009";"...Figure 1: Signing avatars: Visia by ViSiCAST (a), vGuido by eSign (b), Huenerfauth's (c) ...a state-of- the-art: coarticulation in both vocal and sign languages, either in ...Linguistic modelling and language- processing technologies for Avatar-based sign language presentation ...";"https://dl.acm.org/citation.cfm?id=1531935"
"Sign language recognition";"https://scholar.google.comhttp://epubs.surrey.ac.uk/531441/1/SLR-LAP.pdf";"H Cooper and B Holt and R Bowden - Visual Analysis of Humans and 2011";"...looked at data driven approaches, both have their merits since the linguistics of most sign languages are still in ...Despite these problems recent uses of SLR include translation to spoken language, or to another sign language when combined with avatar technology [25 ...";"https://link.springer.com/chapter/10.1007/978-0-85729-997-0_27"
"Research on computer science and sign language: Ethical aspects";"https://scholar.google.comhttp://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.16.631&rep=rep1&type=pdf";"A Braffort - International Gesture Workshop and 2001";"...4 Computer Science Application Dedicated to Sign Languages ...The way oral language and SL function is so different that it seems impossible to work on automatic translation systems without a close ...6. Verlinden M., Tijsseling C. and Frowein H.: A Signing Avatar on the WWW ...";"https://link.springer.com/chapter/10.1007/3-540-47873-6_1"
"Why don't you see what I mean? Prospects and Limitations of current automatic Sign Recognition Research";"";"G Ten Holt and P Hendriks and T Andringa - Sign Language Studies and 2006";"...This process, called sign synthesis, involves generating avatar signs based on descriptions of signs ...Currently, several similar projects are developing signing avatars (eg, Paula, Vcom3d, the … In sign languages, on the other hand, the meaningful parts (eg, handshape, orientation ...";"https://muse.jhu.edu/article/202258/summary"
"Automatic categorization for improving Spanish into Spanish Sign Language machine translation";"https://scholar.google.comhttp://oa.upm.es/11880/1/INVE_MEM_2011_107492.pdf";"V López-Ludeña and R San-Segundo and JM Montero… - Computer Speech & … and 2012";"...a word sequence into a sequence of signs belonging to the sign language), and a 3D avatar animation module ...This fact makes it very difficult to write sign languages ...LSE took the decision: select one of the LSE expert proposals, propose a new one translation alternative, or ...";"https://www.sciencedirect.com/science/article/pii/S0885230811000489"
"A model to support sign language content development for digital television";"https://scholar.google.comhttps://www.researchgate.net/profile/Ronnie_Fagundes_De_Brito/publication/224606767_A_model_to_support_sign_language_content_development_for_digital_television/links/55bb77a208ae9289a0954b84.pdf";"RF de Brito and ATC Pereira - Multimedia Signal Processing and 2009 … and 2009";"...live/recorded video signal into sign notation, edit sign notation, generate avatar animation data … The proposed model application allows translation errors to be corrected, or content edited, without … C) Translating In sign languages, a sign must correspond to a meaning [24], thus ...";"http://ieeexplore.ieee.org/abstract/document/5293266/"
"Animation generation process for sign language synthesis";"";"M Delorme and M Filhol and A Braffort - Advances in Computer-Human … and 2009";"...a human and a machine, we focus on those favoured by deaf people: Sign Languages (SL ...format which will be read by animation programs and specific platforms dedicated to signing avatars … Another way to improve the realism of the signing avatar could be to add randomness ...";"http://ieeexplore.ieee.org/abstract/document/4782545/"
"Synthetic animation of deaf signing gestures";"https://scholar.google.comhttp://fizz.cmp.uea.ac.uk/~jrk/visicast/RK-GW2001/RK-GW2001.pdf";"R Kennaway - International Gesture Workshop and 2001";"...This makes it well suited to the ViSiCAST project, which includes work on British, Dutch, and German Sign Languages ...3. Signing avatars ...The “Bob” avatar of Figure 3(b) is available at http:// ligwww.epfl.ch/~babski/StandardBody/, and is due to Christian Babski and Daniel ...";"https://link.springer.com/10.1007/3-540-47873-6_15"
"Increasing adaptability of a speech into sign language translation system";"https://scholar.google.comhttp://www-gth.die.upm.es/research/documentation/AI-125Inc-13.pdf";"V López-Ludeña and R San-Segundo and CG Morcillo… - Expert Systems With … and 2013";"...years, several projects have started to generate more parallel corpora including sign languages: in American ...that is mainly based on web technologies and makes use of a virtual avatar ...Ohali provides a comparison of some of the most relevant commercial avatars developed in ...";"https://www.sciencedirect.com/science/article/pii/S0957417412010202"
"A Virtual signer to interpret SignWriting";"https://scholar.google.comhttps://www.researchgate.net/profile/Mohamed_Jemni/publication/295261501_A_Virtual_Signer_to_Interpret_SignWriting/links/585fd58d08ae8fce49029f13/A-Virtual-Signer-to-Interpret-SignWriting.pdf";"Y Bouzid and M Jemni - … Conference on Computers for Handicapped Persons and 2014";"...plan to extend our multilingual dictionary to include m nces from different sign languages ...O., Jemni, M.: WebSign: A system to make and interpret signs using 3D Avatars ...of the Second International Workshop on Sign Language Translation and Avatar Technology (SLTAT ...";"https://link.springer.com/chapter/10.1007/978-3-319-08599-9_69"
"Automatic fingersign-to-speech translation system";"https://scholar.google.comhttps://dspace5.zcu.cz/bitstream/11025/17184/1/HruzMarek_2011_Automatic.pdf";"M Hrúz and P Campr and E Dikici and AA Kındıroğlu… - Journal on Multimodal … and 2011";"...Sign language synthesis systems that use avatar anima- tions are based on motion-capture ...of MoCap often together with data gloves to obtain the movement data of sign languages. ViSiCAST project [13] was aimed at voice to English Sign Language translation and SignCom ...";"https://link.springer.com/article/10.1007/s12193-011-0059-3"
"Toward the study of sign language coarticulation: methodology proposal";"";"J Segouat and A Braffort - Advances in Computer-Human … and 2009";"...Evaluation of signing avatars and of coarticulation modeling for SLs is a quite ...and E. Safr, “Linguistic modelling and language- processing technologies for Avatar-based sign ...lexicon”, 3rd Workshop on the Representation and Processing of Sign Languages: Construction and ...";"http://ieeexplore.ieee.org/abstract/document/4782542/"
