idPk;code;name;description;observations;image1;image2;image3;visibility;isProduct;onDateUpdated;onDateCreated;daysToOperations;typeDeficiency;age;sex;isForPregnant;isApproved;isChecked;organizationsIdFk;isDeleted
13;"No brinda información";"Serv. Educativos";"No disponibles.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Intelectual no severa, Motriz, auditiva, visual. ";{};2;1;1;1;35;0
14;"No brinda información";"Centro Atención Integral";"No disponibles.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Intelectual no severa, Motriz, auditiva, visual. ";{};2;1;1;1;35;0
15;"No brinda información";"Capacitaciones";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Cualquier discapacidad ";{};2;1;1;1;36;0
16;"No brinda información";"Terapia ocupacional";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" _______________ ";{};2;1;1;1;37;0
17;"No brinda información";"Nutrición";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:00;2018-01-30 11:31:00;" Todas las discapacidades y niños con riesgo en el desarrollo. ";{};2;1;1;1;39;0
18;"No brinda información";"Trabajo Social";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Todas las discapacidades y niños con riesgo en el desarrollo. ";{};2;1;1;1;39;0
19;"No brinda información";"Odontología";"Centro educativo para población con discapacidad";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Todas las discapacidades y niños con riesgo en el desarrollo. ";{};2;1;1;1;39;0
20;"No brinda información";"Servicio de audiología en general con fabricación de audífonos.";"Servicio de Salud Auditiva con humanismo, tecnología y profesionalismo, para la prevención y tratamiento de la discapacidad auditiva.";";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Auditiva ";{};2;1;1;1;41;0
21;"No brinda información";"Estimulación Temprana";";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Niños sordos, cognitiva-lingüística, psicomotriz. ";{};2;1;1;1;11;0
22;"No brinda información";"Enseñanza de Lesco";";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Niños sordos, cognitiva-lingüística, psicomotriz. ";{};2;1;1;1;11;0
23;"No brinda información";"Terapia Física y Rehabilitación";"Mejoramiento de la calidad de vida de la persona usuaria del servicio que se brinda e independencia funcional, al evolucionar al 100 % de la lesión que presenta. Prevención de padecimientos físicos (articulares, musculares, neurológicos)";";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Toda discapacidad que requiera el servicio que brindan. ";{};2;1;1;1;43;0
24;"No brinda información";"Serv. Educativos (Manualidades para la independencia)";"Atención a personas con discapacidad.";"Actualmente hay 36 usuarios. Se brindan capacitaciones en Manualidades, Panadería y Agricultura Orgánica para generar posibles fuentes de autoempleo.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Visual, auditiva, motriz, intelectual. Se hace una valoración para ver si la persona puede pertenecer al grupo de trabajo. ";{};2;1;1;1;44;0
25;"No brinda información";"Adecuación Curricular No Significativa";"Educación Superior Parauniversitaria.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Cualquiera ";{};2;1;1;1;45;0
26;"No brinda información";"Apoyos Didácticos";"Educación Superior Parauniversitaria.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Cualquiera ";{};2;1;1;1;45;0
27;"No brinda información";"Serv. Terapia Física";"Brindar capacitación educativa para la independencia de nuestros usuarios.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Motriz. ";{};2;1;1;1;46;0
28;"No brinda información";"Centro atención integral.";"Brindar capacitación educativa para la independencia de nuestros usuarios.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Puede ser visual, auditiva, intelectual no severa o bien motriz. ";{};2;1;1;1;46;0
29;"No brinda información";"Serv. educativos";"Brindar capacitación educativa para la independencia de nuestros usuarios.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Puede ser visual, auditiva, intelectual no severa o bien motriz. ";{};2;1;1;1;46;0
30;"No brinda información";"Presupuesto para apoyar ONG’S que atienden personas con discapacidad en el Cantón.";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Cualquiera ";{};2;1;1;1;47;0
31;"No brinda información";"Serv. Educativos: Manualidades.";"NO HAY.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Motriz (artrítico) ";{};2;1;1;1;48;0
32;"No brinda información";"Serv. Educativos.";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Motriz, visual, auditiva, intelectual no severa. ";{};2;1;1;1;50;0
33;"No brinda información";"Audiometría";"-";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Cualquiera ";{};2;1;1;1;51;0
34;"No brinda información";"Serv. Apoyo Legal";"Dotar a la Zona Norte de más alternativas de servicios de atención a las personas con discapacidad como complemento a las otras entidades conFines: de discapacidad, que funcionan en San Carlos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Cualquiera ";{};2;1;1;1;53;0
35;"No brinda información";"Centro de Atención Integral";"Haber incrementado la igualdad de oportunidades a la población con discapacidad al resto de la población. Las personas con discapacidad tengan acceso a todos los servicios acordes a sus características.";"Actualmente hay 57 beneficiarios. Los usuarios pagan ¢2 mil colones por mes como cuotas voluntarias para mantenimiento del lugar.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Cualquiera ";{};2;1;1;1;54;0
36;"No brinda información";"Centro educativo - Educación especial curricular.";"No brindaron información.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Retardo Mental (leve o grave). ";{};2;1;1;1;55;0
37;"No brinda información";"Servicio asistencia económica para pacientes en fase terminal";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Persona con discapacidad, motriz, visual, auditiva, intelectual. ";{};2;1;1;1;2;0
38;"No brinda información";"Servicio alquiler o préstamo de sillas ruedas no ortopedicas.";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Persona con discapacidad, motriz, visual, auditiva, intelectual. ";{};2;1;1;1;2;0
39;"No brinda información";"Serv. Alquiler de Andaderas";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Persona con discapacidad, motriz, visual, auditiva, intelectual. ";{};2;1;1;1;2;0
40;"No brinda información";"Servicio alquiler o préstamo de Camas Hospitalarias.";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Persona con discapacidad, motriz, visual, auditiva, intelectual. ";{};2;1;1;1;2;0
41;"No brinda información";"Serv. Alquiler de Muletas";"Contribuir a la integración de las personas con discapacidad del Cantón de Palmares, a través de la prestación de ayudas técnicas que les faciliten una mejor calidad de vida para lograr su reincorporación en el campo de la salud, educación, laboral, familiar y emocional.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Persona con discapacidad, motriz, visual, auditiva, intelectual. ";{};2;1;1;1;2;0
42;"No brinda información";"Serv. Terapia Ocupacional";"-Promoción de la salud mental de la población. -Atención a la validación de los derechos humanos de las personas con trastorno mental.";"Actualmente hay 40 personas beneficiarias en los talleres autonomía (terapia ocupacional).";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Multiple ";{};2;1;1;1;56;0
43;"No brinda información";"Casa Hogar Comunitario";"-Promoción de la salud mental de la población. -Atención a la validación de los derechos humanos de las personas con trastorno mental.";"Actualmente hay 9 personas beneficiarias.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Intelectual leve o severa. ";{};2;1;1;1;56;0
44;"No brinda información";"Serv. Apoyo Emocional";"No disponible.";"Tienen apoyo estatal de la Junta de Protección Social, IMAS y del Ministerio de Educación Pública. Además aceptan donaciones voluntarias de empresa privada de la zona.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Visual, Motriz, Intelectual (leve o severa), auditiva. ";{};2;1;1;1;58;0
45;"No brinda información";"Serv. Equinoterapia";"No disponible.";"Tienen apoyo estatal de la Junta de Protección Social, IMAS y del Ministerio de Educación Pública. Además aceptan donaciones voluntarias de empresa privada de la zona.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" Visual, Motriz, Intelectual (leve o severa), auditiva. ";{};2;1;1;1;58;0
46;"No brinda información";"Centro de atención integral";"No disponible.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:01;2018-01-30 11:31:01;" visual, motriz, auditiva, intelectual (leve o grave) ";{};2;1;1;1;62;0
47;"No brinda información";"Terapia del lenguaje, habla y voz";"Lograr una correcta evaluación en todas las áreas del lenguaje y comunicación, con el fin de que se detalle su diagnóstico. Iniciar un procesos de intervención al paciente de acuerdo a su diagnóstico, obteniendo aSi una correcta rehabilitación en las áreas alteradas. Brindar información básica acerca de los Trastornos presentes en niños, jóvenes y adultos, los cuales dificultan la correcta comunicación oral, gestual o escritas, con el fin de que se aumente el conocimiento del padre, madre o encargado del paciente.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Todas, sin excepción. ";{};2;1;1;1;64;0
48;"No brinda información";"Serv. Capacitación";"Haber incentivado la igualdad de oportunidades a la población con discapacidad al resto de la población. Lograr que las personas con discapacidad tengan acceso a todos los servicios acordes a sus características.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Cualquier tipo. ";{};2;1;1;1;65;0
49;"No brinda información";"Serv. Educación Especial";"Promover la rehabilitación y la habilitación integral de las personas con discapacidad que viven en el cantón de Atenas y lugares circunvecinos, mediante el desarrollo de programas en las áreas: educativas, ocupacional y social a fin de integrarlos como personas útiles a Si mismo, a la familia y la comunidad.";"Actualmente hay 40 usuarios,";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Puede ser visual, auditiva, intelectual leve o grave también motriz. ";{};2;1;1;1;66;0
50;"No brinda información";"Serv. Gestión y canalización de fondos para proyecto de bien social.";"Gestionamos, canalizamos y ejecutamos fondos asignados para proyectos de bien social, asegurando transparencia y confiabilidad logrando proyectos a satisfacción de beneficiarios y benefactores.";"Según la Directora la Asociación sirve de enlace entre beneficiarios y benefactor, para asegurar la sostenibilidad del proyecto y la rendición de cuentas.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Cualquiera ";{};2;1;1;1;67;0
51;"No brinda información";"Capacitaciones a personas, entidades privadas o públicas en el cantón.";"De acuerdo al Artículo 4 hasta el Inciso i del Código Municipal";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Cualquier discapacidad ";{};2;1;1;1;68;0
52;"No brinda información";"Formación Humana";"De acuerdo al Artículo 4 hasta el Inciso i del Código Municipal";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" cualquier discapacidad ";{};2;1;1;1;68;0
53;"No brinda información";"Alquiler Médicos ByB - Servicio Sanitario Portatil";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motriz. ";{};2;1;1;1;3;0
54;"No brinda información";"Alquiler Médicos ByB - Silla Baño";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motriz. ";{};2;1;1;1;3;0
55;"No brinda información";"Alquiler Médicos ByB - Andaderas";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motriz. ";{};2;1;1;1;3;0
56;"No brinda información";"Alquiler Médicos ByB - Cama Hospitalaria";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motriz. ";{};2;1;1;1;3;0
57;"No brinda información";"Alquiler Médicos ByB - Sillas Ruedas";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motriz. ";{};2;1;1;1;3;0
58;"No brinda información";"Alquiler Médicos ByB - Muletas";"Brindar equipo medico en alquiler para beneficio de personas de escasos recursos económicos.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Motriz. ";{};2;1;1;1;3;0
59;"No brinda información";"Animales Equinoterapia - Animales Equinoterapia Costa Rica.";"El centro de terapia ANIMALES es una organización que viene trabajando desde el 2009, prestando el servicio de terapia asistida con animales a niños y adultos con y sin necesidades especiales, con un equipo de animales entrenados para esta labor y un grupo de profesionales de la salud y educación, expertos en este tipo de intervenciones, que están en capacitación constante, para el desarrollo y crecimiento de esta tipo de terapia en el país.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" PcD Visual, cognitiva. ";{};2;1;1;1;71;0
60;"No brinda información";"Asistencia Médica Gratuita";"Ayudar a la persona que no tiene cómo pagar un médico especializado como neurólogo y compra de medicamentos sobre todo la epilepsia refractaria . Coordinan con instituciones.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Epilepsia, leve o grave. ";{};2;1;1;1;72;0
61;"No brinda información";"Terapia Física.";"Ayudar gratuitamente a los indigentes, (personas con discapacidad, enfermos, abandonados) especialmente a los niños, pero también a los adolescentes y adultos tanto material como espiritualmente, aSi como buscar el financiamiento de la promoción y ejecución de estos programas.";"La Fundación Hogar Manos Abiertas implementa tres programas de atención, para un total de 140 personas atendidas en forma permanente: En condición de abandono con discapacidad y enfermedades crónicas y terminales. Personas adultas con discapacidad en estado de abandono y retardo mental. Personas adultas con discapacidad en estado de abandono, condición de calle que requieren apoyo generalizado, muchos en etapa terminal.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Parálisis Cerebral, Retardo Mental, enfermedad crónica o terminal que requieran apoyos generalizados. ";{};2;1;1;1;73;0
62;"No brinda información";"Educación Especial";"Ayudar gratuitamente a los indigentes, (personas con discapacidad, enfermos, abandonados) especialmente a los niños, pero también a los adolescentes y adultos tanto material como espiritualmente, aSi como buscar el financiamiento de la promoción y ejecución de estos programas.";"Este servicio lo provee directamente el MEP.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Parálisis Cerebral, Retardo Mental, enfermedad crónica o terminal que requieran apoyos generalizados. ";{};2;1;1;1;73;0
63;"No brinda información";"Hogar de cuido para personas con parálisis cerebral en situación de abandono";"Ayudar gratuitamente a los indigentes, (personas con discapacidad, enfermos, abandonados) especialmente a los niños, pero también a los adolescentes y adultos tanto material como espiritualmente, aSi como buscar el financiamiento de la promoción y ejecución de estos programas.";"La Fundación Hogar Manos Abiertas implementa tres programas de atención, para un total de 140 personas atendidas en forma permanente: En condición de abandono con discapacidad y enfermedades crónicas y terminales. Personas adultas con discapacidad en estado de abandono y retardo mental. Personas adultas con discapacidad en estado de abandono, condición de calle que requieren apoyo generalizado, muchos en etapa terminal.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Parálisis Cerebral, Retardo Mental, enfermedad crónica o terminal que requieran apoyos generalizados. ";{};2;1;1;1;73;0
64;"No brinda información";"Educación para el Hogar";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
65;"No brinda información";"Artes Industriales";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
66;"No brinda información";"Educación Musical";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
67;"No brinda información";"Educación Física";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
68;"No brinda información";"Artes Plásticas";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
69;"No brinda información";"Terapia física";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
70;"No brinda información";"Terapia de lenguaje";"Institución Educativa Pública que atiende a niños y jóvenes con algún tipo de discapacidad, provenientes del cantón de Grecia y zonas aledañas.";"";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Retardo Mental, discapacidad múltiple, visual, auditiva. ";{};2;1;1;1;74;0
71;"No brinda información";": Terapia Física";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
72;"No brinda información";": Estimulación Temprana";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
73;"No brinda información";": Música";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
74;"No brinda información";": Artes Plásticas";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
75;"No brinda información";": Educación Física";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
76;"No brinda información";": Terapía Lenguaje";"Atención educativa de estudiantes en condición de discapacidad para su desarrollo integral e inclusión en el ámbito educativo y comunitario.";"No hay.";"imagen";"imagen";"imagen";1;0;"n";2018-01-30 11:31:02;2018-01-30 11:31:02;" Discapacidad Cognitiva (Sindrome de Down, Retardo Mental, otros similares), Problemas Emocionales y de la Conducta (Autismo, otros similares), Discapacidad Múltiple (Parálisis Cerebral, otros similares). ";{};2;1;1;1;75;0
