idPk;isPrivate;cost;objectives;reaches;specificSupports;typeSupports;daysToOperations;responsabilityPerson;cover;requirements;accesibility;others;scheduleExtraordinary;otherExtraordinaryAttention;attentionFrecuency;Items_idPk
12;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en psiquiatría.";"Brindar servicios de psiquiatría a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en psiquiatría.";"Psiquiatra en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Psiquiatras Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Cartago";"Ser de Turrialba, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";12
13;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en ortopedia.";"Brindar servicios de ortopedia a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en ortopedia.";"ortopedia en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Médicos Ortopedistas Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Cartago";"Ser de la Zona de Cartago, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";13
14;0;"No brinda información.";"Mejorar la calidad de salud de los pacientes de consulta externa que necesiten el servicio médico en Audiometrías.";"Brindar servicios de Audiometrías a pacientes que asisten al este hospital, para mejorar su calidad de salud de acuerdo a su necesidad en Audiometrías.";"Audiometrías en consulta externa o si están internados en el hospital.";"Individuales";{};"Ocupación: Especialistas en Audiometrías. Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Provincias: Cartago Cantones: Todos";"Ser de la Zona de Cartago, estar asegurado con la CCSS o tener derecho al seguro por medio de un familiar, tener cédula o pasaporte vigente, Sacar cita en el hospital para este servicio consulta externa, indicada por el médico de su atención en la ventanilla respectiva.";"Si los reúne.";"No brinda información.";0;"-";"-";14
15;0;"Pagan una mensualidad para alimentación y materiales, pero la mensualidad es relativa para cada uno de los usuarios, se hace un estudio socioeconómico para definir el monto.";"Permitir a los usuarios poder tener conocimiento y generar independencia y autoempleo.";"Mejorar la calidad de vida a través de la educación.";"Recursos didácticos como videos, libros, materiales especiales para desarrollar su motora fina y sensorial.";"Individuales y grupales";{};"Ocupación: Educadora Formación académica: Lic. Educación Especial Experiencia: Más de 6 años. Otras destrezas: El grupo lo conforman dos profesionales en educación una con énfasis en educación especial y otra en artes industriales).";"Turrialba.";"Se realiza un protocolo de ingreso para evaluar si el usuario puede ser parte del grupo y además se da un periodo de prueba para ver si el usuario aceptado logra adaptarse al grupo.";"Si poseen las condiciones.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";0;"-";"-Diario";15
16;0;"Pagan una mensualidad para alimentación y materiales, pero la mensualidad es relativa para cada uno de los usuarios, se hace un estudio socioeconómico para definir el monto.";"Permitir a los usuarios poder tener conocimiento y generar independencia y autoempleo.";"Mejorar la calidad de vida a través de la educación.";"Recursos didácticos como videos, libros, materiales especiales para desarrollar su motora fina y sensorial. Terapia Fisica, y Terapia Ocupacional (este último se está coordinando con un profesional ya que lo paga la asociación).";"Individuales y grupales";{};"Ocupación: El grupo se conforma, por una educadora, una terapeuta física y un profesional de artes industriales. Formación académica: Todos Licenciados y colegiados. Experiencia: Más de 12 años combiandos. Otras destrezas:";"Turrialba.";"Se realiza un protocolo de ingreso para evaluar si el usuario puede ser parte del grupo y además se da un periodo de prueba para ver si el usuario aceptado logra adaptarse al grupo.";"Si poseen las condiciones.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";0;"-";"-Diario";16
17;0;"Pagan una mensualidad para alimentación y materiales, pero la mensualidad es relativa para cada uno de los usuarios, se hace un estudio socioeconómico para definir el monto.";"Permitir a los usuarios poder tener una motriz fuerte.";"Mejorar la calidad de vida a través de la terapia física.";"Ejercicios en el lugar del centro y ejercicios para repetir en casa.";"Individuales y grupales";{};"Ocupación: Terapeuta Física Formación académica: Lic. Terapia Física Experiencia: Más de 5 años. Otras destrezas:";"Turrialba.";"Se realiza un protocolo de ingreso para evaluar si el usuario puede ser parte del grupo y además se da un periodo de prueba para ver si el usuario aceptado logra adaptarse al grupo.";"Si poseen las condiciones.";"Actualmente son 66 usuarios, por lo que se han hecho grupos de acuerdo a sus capacidades para aSi poder ir rotonda la terapia física, la cual la reciben un día a la semana de acuerdo a calendario establecido.";0;"-";"-Diario";17
18;0;"es gratuito pero se recibe cuota voluntaria.";"Brindar servicios de apoyo con capacitaciones a las personas con discapacidad que necesiten aprender y mejorar sus habilidades con cursos de computación, administración de archivos o manualidades.";"Apoyar a las personas con discapacidad del cantón de Oreamuno de Cartago y alrededores con capacitaciones para que mejoren su calidad de vida.";"Capacitaciones";"Grupales";{};"Ocupación: Directora de Asociación Formación académica: Licenciada Experiencia: más de 10 años en tema de discapacidad Otras destrezas:";"Cartago";"Tener alguna discapacidad y presentarse en la asociación para afiliarse a esta y llenar una boleta con sus datos personales.";"Si los reúne, pero necesitan más y mejores recursos.";"No brinda información.";0;"-";"- Quincenal";18
19;0;"es gratuito pero se recibe cuota voluntaria.";"Brindar servicios de apoyo en Terapia Física a las personas con discapacidad que necesiten de este servicio.";"Apoyar a las personas con discapacidad del cantón de Oreamuno de Cartago y alrededores con terapia física para que mejoren su estado de salud y calidad de vida.";"Terapia y rehabilitación Física";"Individuales";{};"Ocupación: Fisioterapuetas Formación académica: Licenciados Experiencia: más de 5 años Otras destrezas:";"Cartago";"Tener alguna discapacidad y presentarse en la asociación para que le brinden el servicio de terapia física.";"Si los reúne, pero necesitan más y mejores recursos.";"No brinda información.";0;"-";"- Semanal";19
20;0;"No brinda información.";"ofrecer a la población con discapacidad de Cartago, servicios de apoyo para que mejoren sus destrezas, movilidad, aprendizaje y calidad de vida.";"Brindar servicios de apoyo a los niños y jóvenes con discapacidad del cantón de Cartago, para mejorar su calidad de vida.";"Terapia ocupacional";"Grupales";{};"Ocupación: Profesores de Educación Especial Formación académica:Licenciados Experiencia: Más de 6 años Otras destrezas:";"Provincias: Cartago Cantones: Oreamuno y alrededores.";"Matricularse en el centro educativo y presentar dictamen médico que indique su discapacidad y condición.";"Si es accesible.";"No brinda información.";0;"-";"-Diario";20
21;0;"No brinda información.";"ofrecer a la población con discapacidad de Cartago, servicios de apoyo para que mejoren sus destrezas, movilidad, aprendizaje y calidad de vida.";"Brindar servicios de apoyo a los niños y jóvenes con discapacidad del cantón de Cartago, para mejorar su calidad de vida.";"Terapia Fisica";"Grupales";{};"Ocupación: Profesores de Educación Especial Formación académica:Licenciados Experiencia: Más de 6 años Otras destrezas:";"Provincias: Cartago Cantones: Oreamuno y alrededores.";"Matricularse en el centro educativo y presentar dictamen médico que indique su discapacidad y condición.";"Si es accesible.";"No brinda información.";0;"-";"-Diario";21
22;0;"No brinda información.";"ofrecer a la población con discapacidad de Cartago, servicios de apoyo para que mejoren sus destrezas, movilidad, aprendizaje y calidad de vida.";"Brindar servicios de apoyo a los niños y jóvenes con discapacidad del cantón de Cartago, para mejorar su calidad de vida.";"Terapia de Lenguaje";"Grupales";{};"Ocupación: Profesores de Educación Especial Formación académica:Licenciados Experiencia: Más de 6 años Otras destrezas:";"Provincias: Cartago Cantones: Oreamuno y alrededores.";"Matricularse en el centro educativo y presentar dictamen médico que indique su discapacidad y condición.";"Si es accesible.";"No brinda información.";0;"-";"-Diario";22
23;0;"No brinda información.";"Mejorar la calidad de vida mental de los pacientes con discapacidad mental por medio de sesiones de psicología.";"Brinda un proceso de rehabilitación a aquellas personas que, como consecuencia de su trastorno mental precisan de atención, capacitación y seguimiento para adquirir la autonomía necesaria en los diferentes aspectos de la vida cotidiana para ser lo más independiente y autosuficiente que su patología les permite y, por tanto, mejorar su calidad de vida.";"Consulta externa Psiquiatría";"Individuales";{};"Ocupación: Médicos especializados en psiquiatría y psicología Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Cartago";"Estar asegurado con la CCSS, Ser previamente valorado por uno de los médicos del hospital para tener un mejor estudio de su condición mental y los servicios que puede necesitar y medicación.";"Si, el hospital reúne todas las condiciones.";"No brinda información.";1;"- Servicio 24/7";"-Diario Semanal";23
24;0;"No brinda información.";"Mejorar la calidad de vida mental de los pacientes con discapacidad mental por medio de sesiones de psicología.";"Brinda un proceso de rehabilitación a aquellas personas que, como consecuencia de su trastorno mental precisan de atención, capacitación y seguimiento para adquirir la autonomía necesaria en los diferentes aspectos de la vida cotidiana para ser lo más independiente y autosuficiente que su patología les permite y, por tanto, mejorar su calidad de vida.";"Psicología";"Individuales";{};"Ocupación: Médicos especializados en psiquiatría y psicología Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Cartago";"Estar asegurado con la CCSS, Ser previamente valorado por uno de los médicos del hospital para tener un mejor estudio de su condición mental y los servicios que puede necesitar y medicación.";"Si, el hospital reúne todas las condiciones.";"No brinda información.";1;"- Servicio 24/7";"-Diario Semanal";24
25;0;"No brinda información.";"Su objetivo general es ofrecer servicios integrales en salud mental y atención en psiquiatría a la población con discapacidad mental de este cantón.";"Brinda un proceso de rehabilitación a aquellas personas que, como consecuencia de su trastorno mental precisan de atención, capacitación y seguimiento para adquirir la autonomía necesaria en los diferentes aspectos de la vida cotidiana para ser lo más independiente y autosuficiente que su patología les permite y, por tanto, mejorar su calidad de vida.";"Terapia Ocupacional";"Individuales";{};"Ocupación: Médicos especializados en psiquiatría y psicología, terapia ocupacional. Formación académica: Licenciados y doctores Experiencia: más de 10 años Otras destrezas:";"Cartago";"Estar asegurado con la CCSS, Ser previamente valorado por uno de los médicos del hospital para tener un mejor estudio de su condición mental y los servicios que puede necesitar y medicación.";"Si, el hospital reúne todas las condiciones.";"No brinda información.";1;"- Servicio 24/7";"-Diario Semanal";25
26;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Nutrición";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";26
27;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Trabajo social";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";27
28;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Terapia de Lenguaje";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";28
29;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Odontología";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";29
30;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Terapia Ocupacional";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";30
31;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Psicología";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";31
32;0;"No brinda información.";"Dar atención educativa a población con discapacidad, mediante planes y programas del MEP y apoyos específicos.";"Brindar atención educativa a población con discapacidad desde el nacimiento hasta el ciclo diversificado de educación especial.";"Terapia Física";"Individuales y grupales";{};"Experiencia: Se cuenta con un amplio equipo profesional, la mayoría cuenta con una amplia experiencia profesional. Formación académica: La gran mayoría de los docentes cuentan con el grado de licenciatura y o maestría y todos los profesionales de servicios de apoyo cuentan con licenciatura. Ocupación actual: Educadores y Profesionales de servicio civil 2";"Provincias: Cartago Cantones: Turrialba, Jiménez y Siquirres";"Los estudiantes deben contar con la autorización técnica de la Asesoría pedagógica de educación especial y tener menos de 22 años.";"Si cumple, posee rampas, batería de servicios adaptada, cambiadores para personas en sillas de ruedas, aceras, entre otros.";"A los estudiantes se les brinda servicio de comedor, con apoyo profesional en nutrición, becas escolares y subsidios económicos, talleres y charlas para las familias, se trabaja bajo la modalidad de trabajo colaborativo con las familias. Además hay programas de hidroterapia, orientada al mejoramiento de los procesos educativos. Atención odontológica, hidroponía, cocina, manualidades.";0;"-";"-Diario";32
33;1;"De ¢15 mil a ¢20 mil (depende del requerimiento del paciente) tiempo/costo: 1 hora por terapia / ¢15.000.00 a ¢20.000 10.";"Dar un servicio de atención en terapia física para el tratamiento y la prevención de la discapacidad..";"Mejorar la calidad de vida de la persona que recibe el servicio de terapia física. Dar servicios de terapia física para la prevención y tratamiento de la discapacidad.";"Atención terapéutica y física a las personas con lesiones en diversas áreas del cuerpo, que requieran los servicios que se brindan. Tratamientos: Antiestress Descontracturante Retorno Venoso Masajes: terapéutico, deportivo, artritis, linfáticos Tratamiento de fracturas, cervical, hernias.";"No brinda información.";{};"Ocupación actual del personal responsable: Terapista Física Formación académica: Licenciada, incorporada al Colegio Médicos. Experiencia reconocida: La adquirida en la práctica laboral Destrezas adicionales: No hay. Otros de interés: No hay.";"Provincias: Cartago Cantones: Los de la Provincia de Cartago.";"Requisitos: Ninguno. Accede cualquier persona.";"Si. La Clínica cuenta con las condiciones de infraestructura y equipo aptos para personas con discapacidad física y motora.";"No hay";1;"-Página web Redes Sociales Correo Electronico";"-Diario Semanal";33
34;1;"30.000 colones (audiometría) 45.000 colones (Si requiere un examen adicional) tiempo/costo: 1 hora / 30.000 colones o 45.000 colones 10.";"Promover la salud auditiva en el paciente (usuario).";"Brindar salud auditiva para una calidad de vida mejor del paciente (usuario).";"Examen especializado (audiología) para detectar el grado de pérdida auditiva de la persona, que permita determinar el tratamiento, aSi como la necesidad o no, de audífonos";"No brinda información.";{};"Ocupación actual del personal responsable: Fundador de la Clínica Formación académica: Master en Audiología Experiencia reconocida: Más de 10 años de experiencia práctica. Destrezas adicionales: Actualización profesional constante Otros de interés: No. Hay 3 audiologas más, con grado de licenciatura en Audiología, incorporadas al Colegio respectivo.";"No brinda información.";"Toda persona con necesidad del servicio de audiología. Requisitos: Se agenda la cita Puede tener referencia médica, aunque no es requisito Presentarse al examen de evaluación. Se le informa acerca del tratamiento La persona decide si continúa el proceso o no.";"Si posee las condiciones de accesibilidad para personas con discapacidad. El personal está capacitado para la atención de personas con discapacidad.";"Coordinan con el Hospital Max Peralta de Cartago";1;"-Página web Redes Sociales Correo Electronico";"-Diario";34
35;0;"No brinda información.";"brindar servicios de apoyo educativo a los estudiantes de esta escuela, para que puedan salir adelante";"Enseñar y educar a los niños con discapacidad de este centro con métodos que ellos puedan asimilar más fácil por su discapacidad.";"Terapia Ocupacional";"Individuales y grupales";{};"Ocupación: Profesores de educación especial Formación académica: Licenciados Experiencia: más de 6 años Otras destrezas:";"Cartago";"Matricularse en en centro educativo y presentar dictamen médico del hospital.";"si es accesible.";"No brinda información.";0;"-";"-Diario";35
